성별,연령대,총인구수,1인가구수,평균 출근 소요시간 평균,평균 근무시간 평균,소액결재 비사용 인구수,소액결재 사용횟수 평균,소액결재 사용금액 평균,최근 3개월 내 요금 연체 비율,카카오톡 비사용 인구수,SNS 사용횟수,평균 통화량,평균 문자량,평균 통화대상자 수,평균 문자대상자 수,데이터 사용량,평일 총 이동 횟수,휴일 총 이동 횟수 평균,집 추정 위치 평일 총 체류시간,집 추정 위치 휴일 총 체류시간,평일 총 이동 거리 합계,휴일 총 이동 거리 합계,지하철이동일수 합계,게임 서비스 사용일수,금융 서비스 사용일수,쇼핑 서비스 사용일수,동영상/방송 서비스 사용일수,유튜브 사용일수,넷플릭스 사용일수,배달 서비스 사용일수,배달_브랜드 서비스 사용일수,배달_식재료 서비스 사용일수,cluster
2,45,543.0,64.66,51.01,524.24,528.9,2.5,5490.2,8.44,14.1,-0.06,75.5,16.14,13.48,5.99,3.69,22.91,8.68,684457.36,198646.75,587.64,307.57,7.01,40.48,108.57,178.46,34.32,-0.09,-0.37,12.13,2.55,1.67,6
2,50,482.0,44.85,59.81,497.61,463.36,2.62,6495.73,6.63,13.31,-0.11,69.4,11.58,13.71,5.46,1.8,24.07,9.48,671593.82,194414.88,536.24,331.55,6.84,37.49,86.47,148.57,27.48,-0.13,-0.45,9.87,3.89,0.0,6
2,55,441.0,41.91,57.05,508.22,438.06,1.67,6642.86,2.67,14.7,-0.07,79.95,12.16,14.35,5.35,1.66,23.38,9.59,673814.99,194312.3,573.1,399.51,6.91,40.16,81.53,153.29,27.5,-0.13,-0.47,11.16,1.67,0.0,6
2,60,318.0,31.86,64.12,472.86,315.73,1.67,5188.41,4.29,11.36,-0.09,87.96,12.56,16.94,5.5,1.58,21.07,8.61,741738.37,206624.46,570.74,348.94,5.57,37.56,61.87,109.34,20.76,-0.12,-0.56,6.06,0.0,1.67,6
2,65,266.0,64.39,65.21,445.66,263.97,1.67,6416.67,2.29,10.15,-0.12,70.08,9.63,12.8,3.93,1.16,18.77,7.83,759767.94,217353.18,557.98,323.85,5.96,36.52,38.59,80.68,18.32,-0.15,-0.6,6.5,0.0,1.67,6
2,70,197.98,48.82,0.0,0.0,195.56,1.67,7833.33,0.0,19.31,-0.16,81.36,6.94,12.16,3.76,1.23,16.97,7.19,805071.54,239548.78,423.56,224.19,4.64,30.95,33.27,60.86,17.03,-0.25,-0.64,10.0,0.0,0.0,5
2,75,408.02,124.75,0.0,0.0,408.02,0.0,2600.0,3.55,118.3,-0.28,55.64,10.24,8.62,2.78,0.61,11.65,6.11,895177.51,255447.14,277.78,155.25,3.94,28.78,17.41,37.81,12.41,-0.54,-0.64,13.33,0.0,1.67,5
1,20,663.0,68.72,85.98,543.11,643.97,2.5,7014.49,8.13,3.17,0.1,69.82,8.98,7.59,3.04,12.8,22.89,9.55,586139.97,115232.85,603.23,340.78,7.98,79.94,98.94,125.18,40.36,0.3,-0.09,13.64,3.15,1.67,2
1,25,616.0,61.04,60.46,521.78,567.69,1.94,6975.76,13.73,16.1,0.17,72.77,9.23,10.76,3.82,14.85,23.31,10.29,578307.24,126669.32,647.69,355.06,9.51,77.13,116.87,154.55,44.37,0.27,-0.15,16.48,2.5,1.67,2
1,30,569.0,71.23,69.71,540.1,524.61,2.0,5857.92,10.0,4.04,0.24,98.21,9.32,18.32,5.76,13.36,27.03,12.13,544998.07,117321.74,846.67,490.67,11.35,68.74,148.25,199.22,47.46,0.25,-0.11,18.29,2.35,0.0,0
1,35,488.0,55.11,68.86,547.52,460.89,2.41,6627.45,8.02,21.09,0.15,85.7,10.76,19.59,6.07,8.99,27.85,11.5,541709.05,124261.93,923.16,448.1,11.17,65.4,144.25,201.94,46.25,0.12,-0.17,15.52,2.8,1.67,2
1,40,674.0,52.26,71.07,529.19,666.4,2.78,5142.22,6.77,43.08,0.06,83.12,10.11,19.16,6.38,6.71,27.7,11.4,561702.01,132189.56,955.87,436.89,10.33,60.61,131.6,181.5,43.64,0.01,-0.21,13.26,2.63,1.67,2
1,45,734.0,53.79,65.7,547.16,724.43,2.5,5088.89,5.24,47.87,0.03,74.0,14.62,19.49,6.5,5.66,28.52,11.17,574795.89,136258.85,1068.91,460.94,10.6,58.43,118.4,171.17,42.47,-0.02,-0.28,12.47,3.02,0.0,0
1,50,843.0,56.01,70.34,524.04,828.86,2.33,4937.5,8.05,25.46,0.0,80.38,13.36,21.16,6.38,4.11,27.94,11.06,565367.68,137232.32,1007.09,459.88,10.01,49.22,106.13,140.58,35.36,-0.01,-0.36,12.5,3.02,1.67,3
1,55,767.0,52.04,77.46,526.88,754.67,1.67,4758.45,7.74,34.53,0.01,66.94,10.59,19.78,6.25,2.9,27.36,10.82,567732.35,128187.98,1028.46,481.26,9.56,51.38,91.29,125.68,31.23,-0.06,-0.45,10.44,2.71,0.0,0
1,60,537.0,39.05,76.57,501.35,530.79,2.08,4801.0,5.78,32.59,-0.01,66.82,15.09,19.72,6.35,2.35,27.19,10.71,592408.53,136359.09,1008.18,462.61,9.97,44.49,72.92,98.06,27.77,-0.12,-0.55,8.59,2.5,0.0,0
1,65,396.0,32.91,74.67,474.88,393.13,2.5,4197.92,4.71,20.09,-0.06,66.99,13.49,18.39,5.7,1.78,23.65,9.68,648535.27,147246.03,881.34,422.72,8.57,40.97,53.36,79.93,25.25,-0.11,-0.57,5.74,1.67,1.67,3
1,70,303.96,24.95,0.0,0.0,303.96,0.0,6055.56,1.68,10.19,-0.1,58.62,7.69,15.22,4.66,1.31,22.37,9.44,676120.04,148443.13,694.93,330.77,7.83,36.1,35.59,52.6,17.91,-0.13,-0.62,1.67,0.0,0.0,4
1,75,506.04,122.81,0.0,0.0,504.34,1.67,4515.15,3.02,69.62,-0.17,44.73,10.26,11.7,3.82,1.44,19.22,7.95,763320.54,180109.54,574.03,247.83,6.74,35.04,29.06,45.4,15.57,-0.26,-0.63,8.13,1.67,1.67,4
2,20,606.0,70.14,77.8,500.95,587.16,2.0,7333.33,7.29,0.0,-0.01,62.15,12.15,5.81,3.32,6.88,23.96,9.23,603762.81,131085.79,574.01,315.19,8.11,41.63,85.64,132.63,32.48,0.12,-0.12,14.1,2.73,1.67,1
2,25,557.0,61.31,66.12,510.38,529.15,2.5,8620.37,9.38,13.93,0.06,66.45,10.79,9.16,4.08,8.04,23.84,10.16,603957.81,141373.67,601.1,358.0,9.38,44.1,107.02,168.02,38.58,0.12,-0.14,13.99,2.14,1.67,1
2,30,603.0,68.48,52.27,520.44,562.2,2.92,6641.67,9.09,9.07,0.08,60.48,9.47,11.16,5.03,7.33,22.86,10.11,620334.87,135432.05,664.58,426.21,8.86,42.52,116.44,190.6,40.37,0.12,-0.15,12.89,2.58,1.67,1
2,35,587.0,64.52,67.26,524.92,559.31,2.67,6403.76,9.43,13.84,0.05,61.98,9.58,13.08,5.8,6.2,22.71,10.28,637006.83,142970.67,643.45,416.75,8.39,43.92,121.77,208.89,40.03,0.02,-0.21,14.23,2.18,1.67,1
2,40,805.0,59.29,62.19,496.96,765.32,2.26,5916.67,7.75,19.84,-0.01,76.23,13.79,15.01,6.03,4.77,22.24,9.85,690576.48,158461.58,593.78,347.73,7.8,45.35,112.72,208.66,37.22,0.0,-0.23,13.58,2.9,1.67,1
2,45,957.0,66.85,63.88,498.53,924.99,3.0,6607.59,6.02,22.4,-0.05,88.02,15.2,16.74,7.0,4.05,22.96,9.47,704427.48,163990.32,632.61,320.96,7.63,42.14,99.55,190.45,36.82,-0.06,-0.29,10.73,2.65,1.67,1
2,50,932.0,65.47,64.59,510.15,900.2,2.44,6150.0,4.72,19.57,-0.06,81.47,15.43,15.52,6.03,2.99,23.15,9.21,660841.29,156263.81,631.02,321.25,7.01,41.45,90.48,170.81,28.69,-0.08,-0.4,9.97,2.46,1.67,6
